"RANK","COMPANY","CITY","STATE","2019 RANK","WEBSITE","PRIMARY OPERATION","REVENUE","2018 REVENUE","LEASED TRUCKS","OWNED TRUCKS","TOTAL TRUCKS","LEASED TRACTORS","OWNED TRACTORS","TOTAL TRACTORS","LEASED TRAILERS","OWNED TRAILERS","TOTAL TRAILERS","COMPANY DRIVERS","INDEPENDENT CONTRACTORS","TOTAL DRIVERS"
"11","Werner Enterprises, Inc.","Omaha","NE","11","www.werner.com","General Freight","2463701000","2457914000","0","0","0","540","7460","8000","0","24145","24145","9676","540","10216"
"12","Estes Express Lines","Richmond","VA","12","www.estes-express.com","General Freight","3259109000","3159754000","0","450","450","0","7485","7485","0","30485","30485","9103","0","9103"
"13","Ryder Supply Chain Solutions","Miami","FL","14","www.ryderscs.com","Dedicated Contract Carriage","3968754000","3731457000","773","0","773","5048","0","5048","8898","0","8898","","","9765"
"14","Prime, Inc.","Springfield","MO","13","www.primeinc.com","Refrigerated","2245648000","2142853000","0","0","0","0","7170","7170","0","14194","14194","3152","5468","8620"
"15","U.S. Xpress Enterprises, Inc.","Chattanooga","TN","15","www.usxpress.com","General Freight","1707361000","1804915000","39","45","84","195","7157","7352","28","17900","17928","","","8636"
"16","Kenan Advantage Group","North Canton","OH","17","www.thekag.com","Tank/Bulk Commodities","1758645000","1729704000","0","0","0","1931","4938","6869","323","11185","11508","5630","1607","7237"
"17","ArcBest Corporation","Fort Smith","AR","16","arcb.com","General Freight","2988310000","3093788000","756","80","836","335","4163","4507","0","22083","22083","","","8346"
"18","R+L Carriers","Wilmington","OH","21","www.rlcarriers.com","General Freight","","","1","619","620","29","5452","5481","0","16517","16517","","","6906"
"19","Penske Logistics","Reading","PA","20","www.penskelogistics.com","Dedicated Contract Carriage","2600000000","2300000000","520","0","520","4952","0","4952","18049","0","18049","6888","0","6888"
"20","CRST International, Inc.","Cedar Rapids","IA","18","www.crst.com","General Freight","1561000000","1685000000","0","0","0","0","5785","5785","0","13803","13803","5695","2123","7818"
"21","Saia Inc.","Johns Creek","GA","24","www.saia.com","General Freight","","1650000000","0","62","62","0","5949","5949","0","16674","16674","","","5523"
"22","Daseke","Addison","TX","19","www.daseke.com","Flatbed/Specialized/Heavy Haul","1737000000","1613100000","15","78","93","2469","3329","5798","2391","9632","12023","","","5881"
"23","Evans Network of Companies","Schuylkill Haven","PA","25","www.evansdelivery.com","Intermodal","1240000000","1152069000","0","0","0","6200","0","6200","300","550","850","0","6200","6200"
"24","NFI","Camden","NJ","28","www.nfiindustries.com","Dedicated Contract Carriage","2140000000","2040000000","0","6","6","1630","2770","4400","300","11700","12000","3300","1600","4900"
"25","UniGroup","Fenton","MO","26","www.unigroup.com","Household Goods","1500000000","1500000000","2049","0","2049","3252","0","3252","5197","0","5197","0","6200","6200"
"26","CR England, Inc.","Salt Lake City","UT","23","www.crengland.com","Refrigerated","1545199000","1636376000","0","0","0","25","3978","4003","0","6553","6553","5862","33","5895"
"27","Hub Group","Oak Brook","IL","22","www.hubgroup.com","Intermodal","3668117000","4423127000","0","5","5","1301","2537","3838","1000","42368","43368","2900","1000","3900"
"28","Averitt Express","Cookeville","TN","27","www.averittexpress.com","General Freight","1319000000","1298462984","0","43","43","0","5213","5213","0","14918","14918","5371","0","5371"
